func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
aws,2048,1MB,gcp,gcp,True,0.143,0.356
aws,2048,1MB,aws,aws,True,0.202,0.082
aws,2048,1MB,gcp,gcp,True,0.146,0.207
aws,2048,1MB,aws,aws,True,0.173,0.071
aws,2048,1MB,gcp,gcp,True,0.127,0.322
aws,2048,1MB,aws,aws,True,0.231,0.07
aws,2048,1MB,gcp,gcp,True,0.142,0.216
aws,2048,1MB,aws,aws,True,0.187,0.078
aws,2048,1MB,gcp,gcp,True,0.139,0.205
aws,2048,1MB,aws,aws,True,0.352,0.087
aws,2048,1MB,gcp,gcp,True,0.149,0.139
aws,2048,1MB,aws,aws,True,0.228,0.068
aws,2048,1MB,gcp,gcp,True,0.171,0.222
aws,2048,1MB,aws,aws,True,0.182,0.129
aws,2048,1MB,gcp,gcp,True,0.142,0.291
aws,2048,1MB,aws,aws,True,0.212,0.067
aws,2048,1MB,gcp,gcp,True,0.128,0.226
aws,2048,1MB,aws,aws,True,0.173,0.065
aws,2048,1MB,gcp,gcp,True,0.154,0.214
aws,2048,1MB,aws,aws,True,0.211,0.05
aws,2048,1MB,gcp,gcp,True,0.141,0.209
aws,2048,1MB,aws,aws,True,0.219,0.068
aws,2048,1MB,gcp,gcp,True,0.136,0.202
aws,2048,1MB,aws,aws,True,0.132,0.07
